ID,Rt,MS1Mass,ACCESSION,RefMatchFrag,UsrMatchFrag,MS1Error,MS2Error,MS2ErrorStd,DirectMatch,ReversMatch,Probability,FinalScore,SpecType,MatchedFrags,Inchikey,FragMZ,FragInt
8,0.11800000071525574,179.11517609863282,MSV000094528,2.0--59,2.0--30,-0.009,0,0,0.94,0.84,0.47349954,4.29,EXP,"[56.049351, 65.038419]",NYMGNSNKLVNMIA-UHFFFAOYSA-N,"[178.1071014404297, 262.1662902832031, 145.09922790527344, 116.07229614257812, 114.08965301513672, 102.09184265136719, 100.07691192626953, 88.07903289794922, 88.07533264160156, 86.06136322021484, 84.0830078125, 83.053955078125, 82.06562042236328, 74.06145477294922, 73.03197479248047, 72.08111572265625, 72.04573822021484, 71.05081939697266, 70.06829071044922, 70.06448364257812, 69.04654693603516, 68.05036926269531, 65.03980255126953, 62.0610466003418, 60.04776382446289, 60.044898986816406, 59.05019760131836, 58.06669235229492, 57.03544998168945, 56.051246643066406]","[5851.0, 4193.0, 92.66666412353516, 79.33333587646484, 107.33333587646484, 174.3333282470703, 80.0, 245.6666717529297, 249.0, 174.0, 122.66666412353516, 106.0, 93.33333587646484, 436.3333435058594, 80.0, 201.3333282470703, 132.6666717529297, 228.0, 399.0, 488.3333435058594, 107.66666412353516, 147.6666717529297, 121.33333587646484, 93.0, 243.6666717529297, 323.6666564941406, 204.6666717529297, 541.0, 177.3333282470703, 601.3333129882812]"
283,13.479999542236328,384.2269772460937,MSV000094528,1.0--10,1.0--3,0,0,0.001,0.53,0.67,0.47297674,4.58,EXP,[386.237396],DEHNKYULUOQHIQ-UHFFFAOYSA-N,"[386.239013671875, 253.21519470214844, 327.231689453125]","[10626.0, 6853.0, 6392.0]"
283,13.479999542236328,384.2269772460937,MSV000094528,1.0--10,1.0--3,0,0,0.001,0.53,0.67,0.47297674,4.58,EXP,[386.237396],DEHNKYULUOQHIQ-UHFFFAOYSA-N,"[386.239013671875, 253.21519470214844, 327.231689453125]","[10626.0, 6853.0, 6392.0]"
283,13.479999542236328,384.2269772460937,MSV000094528,1.0--15,1.0--3,0.006,0,0.001,0.67,0.66,0.47049177,4.49,EXP,[386.242462],QWSFNUPVXLZSJQ-UHFFFAOYSA-N,"[386.239013671875, 253.21519470214844, 327.231689453125]","[10626.0, 6853.0, 6392.0]"
283,13.479999542236328,384.2269772460937,MSBNK-Athens_Univ-AU281402,2.0--60,2.0--3,0.003,0,0.001,0.98,0.66,0.46927634,5.15,EXP,"[327.2226, 386.2413]",RQZAXGRLVPAYTJ-GQFGMJRRSA-N,"[386.239013671875, 253.21519470214844, 327.231689453125]","[10626.0, 6853.0, 6392.0]"
283,13.479999542236328,384.2269772460937,MoNA-AU281402,2.0--60,2.0--3,0.003,0,0.001,0.98,0.66,0.46927634,5.15,EXP,"[327.2226, 386.2413]",RQZAXGRLVPAYTJ-GQFGMJRRSA-N,"[386.239013671875, 253.21519470214844, 327.231689453125]","[10626.0, 6853.0, 6392.0]"
283,13.479999542236328,384.2269772460937,AU281402,2.0--60,2.0--3,0.003,0,0.001,0.98,0.66,0.46927634,5.15,MS2,"[327.2226, 386.2413]",RQZAXGRLVPAYTJ-GQFGMJRRSA-N,"[386.239013671875, 253.21519470214844, 327.231689453125]","[10626.0, 6853.0, 6392.0]"
143,1.1790000200271606,246.12037934570313,MSV000094528,2.0--194,2.0--3,0.005,0,0.001,0.98,0.68,0.46864313,5.06,EXP,"[132.057128, 247.11827]",CAHQQYHQUHYOGU-FXAWDABRSA-N,"[230.1208038330078, 132.0644073486328, 247.12879943847656]","[7811.0, 8277.0, 8600.0]"
143,1.1790000200271606,246.12037934570313,MSV000094528,2.0--134,2.0--3,0.005,0,0.001,0.98,0.65,0.46864313,5.04,EXP,"[132.057052, 247.133388]",YMBXTVYHTMGZDW-UHFFFAOYSA-N,"[230.1208038330078, 132.0644073486328, 247.12879943847656]","[7811.0, 8277.0, 8600.0]"
198,4.4070000648498535,327.1517819335937,MSV000094528,2.0--218,2.0--3,0.007,0,0.001,0.98,0.64,0.46864313,4.99,EXP,"[311.139648, 312.134382]",URHLDITXBYURGG-UHFFFAOYSA-N,"[265.12799072265625, 311.1322937011719, 312.13580322265625]","[5726.0, 14939.0, 4998.0]"
